uuid;relative_time_us;agent;source;type;igs_timestamp;value
;151928002;SmartEyeProBridge;an_fixation;1;;6986
;151931398;SmartEyeProBridge;pupil_diameter;2;;0.005219
;151931428;SmartEyeProBridge;pupil_diameter_quality;2;;0.972258
;151931521;SmartEyeProBridge;an_saccade;1;;6986
;151931552;SmartEyeProBridge;an_fixation;1;;0
;151939857;SmartEyeProBridge;pupil_diameter;2;;0.000000
;151939887;SmartEyeProBridge;pupil_diameter_quality;2;;0.000000
;151957489;SmartEyeProBridge;pupil_diameter;2;;0.005412
;151957521;SmartEyeProBridge;pupil_diameter_quality;2;;0.801696
;151972122;SmartEyeProBridge;pupil_diameter;2;;0.005364
;151972152;SmartEyeProBridge;pupil_diameter_quality;2;;0.854192
;152003230;SmartEyeProBridge;filtered_closest_world_object_name;3;;TARS
;152003324;SmartEyeProBridge;pupil_diameter;2;;0.000000
;152003355;SmartEyeProBridge;pupil_diameter_quality;2;;0.000000
;152003570;SmartEyeProBridge;an_blink;1;;0
;152004848;SmartEyeProBridge;pupil_diameter;2;;0.004854
;152004884;SmartEyeProBridge;pupil_diameter_quality;2;;0.815721
;152041043;SmartEyeProBridge;pupil_diameter;2;;0.004079
;152041062;SmartEyeProBridge;pupil_diameter_quality;2;;0.785986
;152041118;SmartEyeProBridge;an_saccade;1;;6986
;152041137;SmartEyeProBridge;an_fixation;1;;0
;152050686;SmartEyeProBridge;pupil_diameter;2;;0.004403
;152050708;SmartEyeProBridge;pupil_diameter_quality;2;;0.831564
;152054811;SmartEyeProBridge;pupil_diameter;2;;0.004462
;152054836;SmartEyeProBridge;pupil_diameter_quality;2;;0.830677
